timestamp,total_memory,used_memory,free_memory
2023-11-28 12:53:05,30068,497,28169
2023-11-28 12:53:25,30068,7780,20886
2023-11-28 12:53:45,30068,10808,17856
2023-11-28 12:54:05,30068,12981,15684
2023-11-28 12:54:25,30068,13026,15638
2023-11-28 12:54:45,30068,7390,21274
2023-11-28 12:55:05,30068,9468,19196
2023-11-28 12:55:25,30068,12068,16596
2023-11-28 12:55:45,30068,13010,15654
2023-11-28 12:56:05,30068,897,27767
2023-11-28 12:56:25,30068,8096,20568
2023-11-28 12:56:45,30068,11326,17338
2023-11-28 12:57:06,30068,13349,15315
2023-11-28 12:57:26,30068,13368,15296
2023-11-28 12:57:46,30068,7787,20877
2023-11-28 12:58:06,30068,9498,19166
2023-11-28 12:58:26,30068,13090,15574
2023-11-28 12:58:46,30068,13091,15573
2023-11-28 12:59:06,30068,2120,26544
2023-11-28 12:59:26,30068,8296,20368
2023-11-28 12:59:46,30068,11971,16693
2023-11-28 13:00:06,30068,13323,15340
2023-11-28 13:00:26,30068,13145,15519
2023-11-28 13:00:46,30068,7831,20833
2023-11-28 13:01:06,30068,9504,19159
2023-11-28 13:01:26,30068,13013,15651
2023-11-28 13:01:46,30068,13035,15628
2023-11-28 13:02:06,30068,3860,24803
2023-11-28 13:02:26,30068,8476,20188
2023-11-28 13:02:46,30068,11715,16949
2023-11-28 13:03:06,30068,13014,15649
2023-11-28 13:03:26,30068,13033,15630
2023-11-28 13:03:46,30068,7705,20958
2023-11-28 13:04:06,30068,9388,19275
2023-11-28 13:04:27,30068,12961,15703
2023-11-28 13:04:47,30068,488,28175
2023-11-28 13:05:07,30068,495,28168
2023-11-28 13:05:27,30068,514,28149
2023-11-28 13:05:47,30068,514,28150
2023-11-28 13:06:07,30068,500,28164
2023-11-28 13:06:27,30068,607,28056
2023-11-28 13:06:47,30068,923,27740
