timestamp,total_memory,used_memory,free_memory
2024-03-13 13:10:17,120734,817,117708
2024-03-13 13:10:29,120734,14659,103866
2024-03-13 13:10:37,120734,38147,80378
2024-03-13 13:10:49,120734,40230,78295
2024-03-13 13:10:57,120734,40219,78305
2024-03-13 13:11:09,120734,40223,78301
2024-03-13 13:11:17,120734,40222,78302
2024-03-13 13:11:29,120734,40231,78294
2024-03-13 13:11:37,120734,40231,78293
2024-03-13 13:11:49,120734,40240,78285
2024-03-13 13:11:57,120734,40239,78286
2024-03-13 13:12:09,120734,785,117740
2024-03-13 13:12:29,120734,791,117733
2024-03-13 13:12:49,120734,794,117730
2024-03-13 13:13:09,120734,793,117732
2024-03-13 13:13:29,120734,795,117729
2024-03-13 13:13:49,120734,813,117711
2024-03-13 13:14:09,120734,808,117716
2024-03-13 13:14:29,120734,810,117714
