timestamp,total_memory,used_memory,free_memory
2023-11-28 13:07:34,30068,512,28151
2023-11-28 13:07:47,30068,7706,20956
2023-11-28 13:07:54,30068,7707,20955
2023-11-28 13:08:07,30068,9400,19263
2023-11-28 13:08:14,30068,10736,17926
2023-11-28 13:08:27,30068,12402,16261
2023-11-28 13:08:34,30068,13157,15505
2023-11-28 13:08:47,30068,12916,15747
2023-11-28 13:08:54,30068,12932,15730
2023-11-28 13:09:07,30068,877,27785
2023-11-28 13:09:14,30068,7230,21432
2023-11-28 13:09:27,30068,8026,20636
2023-11-28 13:09:34,30068,9444,19218
2023-11-28 13:09:47,30068,11086,17576
2023-11-28 13:09:54,30068,12181,16481
2023-11-28 13:10:07,30068,12876,15786
2023-11-28 13:10:14,30068,12877,15785
2023-11-28 13:10:27,30068,12897,15765
2023-11-28 13:10:34,30068,524,28138
2023-11-28 13:10:47,30068,7862,20800
2023-11-28 13:10:54,30068,7863,20799
2023-11-28 13:11:07,30068,9519,19143
2023-11-28 13:11:14,30068,10850,17812
2023-11-28 13:11:27,30068,12576,16086
2023-11-28 13:11:34,30068,13035,15627
2023-11-28 13:11:47,30068,13038,15624
2023-11-28 13:11:54,30068,13054,15608
2023-11-28 13:12:07,30068,921,27741
2023-11-28 13:12:15,30068,7468,21194
2023-11-28 13:12:27,30068,8107,20555
2023-11-28 13:12:35,30068,9524,19138
2023-11-28 13:12:47,30068,11374,17288
2023-11-28 13:12:55,30068,12379,16283
2023-11-28 13:13:07,30068,13446,15216
2023-11-28 13:13:15,30068,13447,15215
2023-11-28 13:13:27,30068,13461,15200
2023-11-28 13:13:35,30068,898,27764
2023-11-28 13:13:48,30068,7771,20891
2023-11-28 13:13:55,30068,8046,20616
2023-11-28 13:14:08,30068,9440,19222
2023-11-28 13:14:15,30068,11253,17408
2023-11-28 13:14:28,30068,13109,15553
2023-11-28 13:14:35,30068,13109,15552
2023-11-28 13:14:48,30068,13113,15549
2023-11-28 13:14:55,30068,13129,15533
2023-11-28 13:15:08,30068,2744,25918
2023-11-28 13:15:15,30068,7789,20873
2023-11-28 13:15:28,30068,8318,20344
2023-11-28 13:15:35,30068,9477,19185
2023-11-28 13:15:48,30068,11880,16781
2023-11-28 13:15:55,30068,12796,15866
2023-11-28 13:16:08,30068,13162,15499
2023-11-28 13:16:15,30068,13165,15497
2023-11-28 13:16:28,30068,13184,15478
2023-11-28 13:16:35,30068,920,27741
2023-11-28 13:16:48,30068,7728,20934
2023-11-28 13:16:55,30068,7992,20670
2023-11-28 13:17:08,30068,9414,19248
2023-11-28 13:17:15,30068,11286,17375
2023-11-28 13:17:28,30068,13122,15540
2023-11-28 13:17:35,30068,13125,15537
2023-11-28 13:17:48,30068,13125,15536
2023-11-28 13:17:55,30068,13143,15519
2023-11-28 13:18:08,30068,3971,24690
2023-11-28 13:18:15,30068,7652,21010
2023-11-28 13:18:28,30068,8313,20349
2023-11-28 13:18:35,30068,9332,19330
2023-11-28 13:18:48,30068,11717,16944
2023-11-28 13:18:56,30068,12322,16340
2023-11-28 13:19:08,30068,12497,16165
2023-11-28 13:19:16,30068,12497,16164
2023-11-28 13:19:28,30068,12514,16147
2023-11-28 13:19:48,30068,510,28152
2023-11-28 13:20:08,30068,501,28161
2023-11-28 13:20:28,30068,501,28161
2023-11-28 13:20:48,30068,501,28160
2023-11-28 13:21:08,30068,502,28159
2023-11-28 13:21:28,30068,502,28159
2023-11-28 13:21:48,30068,502,28159
2023-11-28 13:22:08,30068,498,28163
2023-11-28 13:22:28,30068,500,28161
2023-11-28 13:22:48,30068,500,28161
2023-11-28 13:23:08,30068,501,28160
2023-11-28 13:23:28,30068,501,28160
2023-11-28 13:23:48,30068,501,28160
2023-11-28 13:24:08,30068,504,28157
2023-11-28 13:24:28,30068,496,28165
2023-11-28 13:24:48,30068,496,28165
2023-11-28 13:25:08,30068,497,28164
