timestamp,total_memory,used_memory,free_memory
2024-05-01 15:17:22,60258,833,57851
2024-05-01 15:17:27,60258,1386,57296
2024-05-01 15:17:32,60258,4917,53765
2024-05-01 15:17:37,60258,13093,45589
2024-05-01 15:17:42,60258,26017,32665
2024-05-01 15:17:47,60258,33074,25608
2024-05-01 15:17:52,60258,37899,20783
2024-05-01 15:17:57,60258,37901,20781
2024-05-01 15:18:02,60258,37904,20777
2024-05-01 15:18:07,60258,39799,18883
2024-05-01 15:18:12,60258,40016,18666
2024-05-01 15:18:17,60258,40022,18660
2024-05-01 15:18:22,60258,40026,18655
2024-05-01 15:18:27,60258,40027,18655
2024-05-01 15:18:32,60258,40030,18652
2024-05-01 15:18:37,60258,40034,18648
2024-05-01 15:18:42,60258,40037,18644
2024-05-01 15:18:47,60258,40038,18644
2024-05-01 15:18:52,60258,40039,18643
2024-05-01 15:18:57,60258,40035,18646
2024-05-01 15:19:02,60258,40041,18640
2024-05-01 15:19:07,60258,40030,18652
2024-05-01 15:19:12,60258,40033,18648
2024-05-01 15:19:17,60258,40037,18644
2024-05-01 15:19:22,60258,40081,18600
