timestamp,total_memory,used_memory,free_memory
2024-05-18 18:17:59,120734,785,119572
2024-05-18 18:18:04,120734,2943,117413
2024-05-18 18:18:09,120734,46113,74238
2024-05-18 18:18:15,120734,76816,43536
2024-05-18 18:18:20,120734,96044,24308
2024-05-18 18:18:25,120734,119894,604
2024-05-18 18:18:30,120734,119893,604
2024-05-18 18:18:35,120734,119636,863
2024-05-18 18:18:40,120734,119595,905
2024-05-18 18:18:45,120734,119632,868
2024-05-18 18:18:50,120734,119673,826
2024-05-18 18:18:55,120734,119876,623
2024-05-18 18:19:00,120734,119903,604
2024-05-18 18:19:06,120734,119802,703
2024-05-18 18:19:11,120734,119853,650
2024-05-18 18:19:16,120734,119850,647
2024-05-18 18:19:21,120734,119731,758
2024-05-18 18:19:26,120734,119583,900
2024-05-18 18:19:31,120734,119418,1058
2024-05-18 18:19:36,120734,119412,1060
2024-05-18 18:19:41,120734,119324,1144
2024-05-18 18:19:46,120734,119190,1275
2024-05-18 18:19:51,120734,119315,1148
2024-05-18 18:19:56,120734,119546,916
2024-05-18 18:20:01,120734,119823,637
2024-05-18 18:20:06,120734,119526,933
2024-05-18 18:20:12,120734,119716,742
2024-05-18 18:20:17,120734,119670,788
2024-05-18 18:20:22,120734,119597,860
2024-05-18 18:20:27,120734,119555,900
2024-05-18 18:20:32,120734,119646,809
2024-05-18 18:20:37,120734,119549,904
2024-05-18 18:20:42,120734,119598,854
2024-05-18 18:20:47,120734,119623,829
2024-05-18 18:20:52,120734,119465,986
2024-05-18 18:20:57,120734,119573,878
2024-05-18 18:21:02,120734,119446,1005
2024-05-18 18:21:07,120734,119537,913
2024-05-18 18:21:12,120734,119573,877
2024-05-18 18:21:17,120734,62138,58311
2024-05-18 18:21:22,120734,10193,110257
