timestamp,total_memory,used_memory,free_memory
2024-05-11 19:26:34,150884,661,147743
2024-05-11 19:26:39,150884,1526,146878
2024-05-11 19:26:44,150884,1897,146506
2024-05-11 19:26:49,150884,2253,146150
2024-05-11 19:26:54,150884,2585,145818
2024-05-11 19:26:59,150884,2964,145439
2024-05-11 19:27:04,150884,8519,139884
2024-05-11 19:27:09,150884,17846,130556
2024-05-11 19:27:14,150884,31925,116478
2024-05-11 19:27:20,150884,45051,103352
2024-05-11 19:27:25,150884,45505,102897
2024-05-11 19:27:30,150884,46405,101998
2024-05-11 19:27:35,150884,47647,100756
2024-05-11 19:27:40,150884,48003,100400
2024-05-11 19:27:45,150884,48006,100396
2024-05-11 19:27:50,150884,48010,100393
2024-05-11 19:27:55,150884,48014,100389
2024-05-11 19:28:00,150884,48017,100385
2024-05-11 19:28:05,150884,48020,100382
2024-05-11 19:28:10,150884,51697,96706
2024-05-11 19:28:15,150884,65590,82812
2024-05-11 19:28:20,150884,75248,73154
2024-05-11 19:28:25,150884,75895,72507
2024-05-11 19:28:30,150884,76410,71992
2024-05-11 19:28:36,150884,77021,71381
2024-05-11 19:28:41,150884,77662,70741
2024-05-11 19:28:46,150884,78175,70227
2024-05-11 19:28:51,150884,78784,69619
2024-05-11 19:28:56,150884,79425,68977
2024-05-11 19:29:01,150884,80005,68397
2024-05-11 19:29:06,150884,80691,67712
2024-05-11 19:29:11,150884,81497,66906
2024-05-11 19:29:16,150884,83295,65107
2024-05-11 19:29:21,150884,83300,65102
2024-05-11 19:29:26,150884,83304,65098
2024-05-11 19:29:31,150884,83964,64438
2024-05-11 19:29:36,150884,85708,62694
2024-05-11 19:29:41,150884,87328,61074
2024-05-11 19:29:46,150884,88116,60287
2024-05-11 19:29:52,150884,88117,60285
2024-05-11 19:29:57,150884,88120,60282
2024-05-11 19:30:02,150884,88124,60278
2024-05-11 19:30:07,150884,88128,60274
2024-05-11 19:30:12,150884,88129,60273
2024-05-11 19:30:17,150884,88131,60271
2024-05-11 19:30:22,150884,88133,60269
2024-05-11 19:30:27,150884,90247,58155
2024-05-11 19:30:32,150884,94748,53654
2024-05-11 19:30:37,150884,95446,52956
2024-05-11 19:30:42,150884,95451,52951
2024-05-11 19:30:47,150884,95455,52947
2024-05-11 19:30:52,150884,95457,52946
2024-05-11 19:30:57,150884,95459,52944
2024-05-11 19:31:02,150884,95462,52940
2024-05-11 19:31:08,150884,95464,52938
2024-05-11 19:31:13,150884,95467,52935
2024-05-11 19:31:18,150884,95535,52867
2024-05-11 19:31:23,150884,97795,50607
2024-05-11 19:31:28,150884,98583,49819
2024-05-11 19:31:33,150884,99490,48912
2024-05-11 19:31:38,150884,101841,46561
2024-05-11 19:31:43,150884,101845,46557
2024-05-11 19:31:48,150884,101850,46552
2024-05-11 19:31:53,150884,101823,46579
2024-05-11 19:31:58,150884,101824,46578
2024-05-11 19:32:03,150884,101824,46578
2024-05-11 19:32:08,150884,101825,46577
2024-05-11 19:32:13,150884,101827,46575
2024-05-11 19:32:19,150884,101828,46574
2024-05-11 19:32:24,150884,101831,46571
2024-05-11 19:32:29,150884,101835,46567
2024-05-11 19:32:34,150884,101839,46563
2024-05-11 19:32:39,150884,101843,46559
2024-05-11 19:32:44,150884,101846,46557
2024-05-11 19:32:49,150884,101824,46578
2024-05-11 19:32:54,150884,101828,46574
2024-05-11 19:32:59,150884,101889,46513
2024-05-11 19:33:04,150884,102122,46280
2024-05-11 19:33:09,150884,104101,44301
2024-05-11 19:33:14,150884,104607,43795
2024-05-11 19:33:19,150884,104612,43790
2024-05-11 19:33:24,150884,104615,43787
2024-05-11 19:33:29,150884,104620,43782
2024-05-11 19:33:35,150884,104624,43778
2024-05-11 19:33:40,150884,104628,43774
2024-05-11 19:33:45,150884,104632,43770
2024-05-11 19:33:50,150884,104609,43793
2024-05-11 19:33:55,150884,104613,43789
2024-05-11 19:34:00,150884,104632,43770
2024-05-11 19:34:05,150884,106149,42253
2024-05-11 19:34:10,150884,106664,41738
2024-05-11 19:34:15,150884,106669,41733
2024-05-11 19:34:20,150884,106676,41726
2024-05-11 19:34:25,150884,106655,41747
2024-05-11 19:34:30,150884,106659,41743
2024-05-11 19:34:35,150884,106659,41743
2024-05-11 19:34:40,150884,106661,41740
2024-05-11 19:34:45,150884,106666,41736
2024-05-11 19:34:51,150884,106670,41732
2024-05-11 19:34:56,150884,106673,41729
2024-05-11 19:35:01,150884,106650,41752
2024-05-11 19:35:06,150884,106653,41749
2024-05-11 19:35:11,150884,106817,41585
2024-05-11 19:35:16,150884,107767,40635
