timestamp,total_memory,used_memory,free_memory
2024-05-11 22:26:26,150884,797,147594
2024-05-11 22:26:31,150884,1637,146754
2024-05-11 22:26:36,150884,2085,146306
2024-05-11 22:26:41,150884,2351,146040
2024-05-11 22:26:46,150884,2697,145694
2024-05-11 22:26:51,150884,3086,145305
2024-05-11 22:26:56,150884,9354,139037
2024-05-11 22:27:01,150884,14349,134042
2024-05-11 22:27:06,150884,15801,132590
2024-05-11 22:27:11,150884,15801,132590
2024-05-11 22:27:16,150884,15801,132590
2024-05-11 22:27:21,150884,15962,132429
2024-05-11 22:27:26,150884,16302,132089
2024-05-11 22:27:31,150884,18594,129796
2024-05-11 22:27:36,150884,21080,127311
2024-05-11 22:27:41,150884,21881,126510
2024-05-11 22:27:46,150884,22683,125708
2024-05-11 22:27:51,150884,23485,124906
2024-05-11 22:27:56,150884,24286,124104
2024-05-11 22:28:01,150884,24719,123672
2024-05-11 22:28:06,150884,24743,123647
2024-05-11 22:28:11,150884,24743,123648
2024-05-11 22:28:16,150884,24744,123647
2024-05-11 22:28:21,150884,24744,123647
2024-05-11 22:28:26,150884,24802,123589
2024-05-11 22:28:31,150884,24802,123589
2024-05-11 22:28:36,150884,24804,123587
2024-05-11 22:28:41,150884,24804,123587
2024-05-11 22:28:46,150884,24804,123587
2024-05-11 22:28:51,150884,24804,123587
2024-05-11 22:28:56,150884,24808,123583
2024-05-11 22:29:01,150884,24808,123583
2024-05-11 22:29:06,150884,24808,123583
2024-05-11 22:29:11,150884,24809,123582
2024-05-11 22:29:16,150884,24809,123582
2024-05-11 22:29:21,150884,24810,123580
2024-05-11 22:29:26,150884,24829,123561
2024-05-11 22:29:31,150884,24829,123561
2024-05-11 22:29:36,150884,24842,123548
2024-05-11 22:29:41,150884,24842,123548
2024-05-11 22:29:46,150884,24843,123548
2024-05-11 22:29:51,150884,24843,123548
2024-05-11 22:29:56,150884,24843,123548
2024-05-11 22:30:01,150884,24889,123501
2024-05-11 22:30:06,150884,24890,123501
2024-05-11 22:30:11,150884,24890,123501
2024-05-11 22:30:16,150884,24833,123558
2024-05-11 22:30:21,150884,24832,123558
2024-05-11 22:30:26,150884,24854,123537
2024-05-11 22:30:31,150884,24785,123606
2024-05-11 22:30:36,150884,24770,123620
2024-05-11 22:30:41,150884,24770,123620
2024-05-11 22:30:46,150884,24764,123626
2024-05-11 22:30:51,150884,24765,123626
2024-05-11 22:30:56,150884,25164,123226
2024-05-11 22:31:01,150884,24843,123547
2024-05-11 22:31:06,150884,24997,123393
2024-05-11 22:31:11,150884,24997,123393
2024-05-11 22:31:16,150884,24997,123393
2024-05-11 22:31:21,150884,29061,119329
2024-05-11 22:31:26,150884,29866,118525
2024-05-11 22:31:31,150884,30677,117714
2024-05-11 22:31:36,150884,31490,116900
2024-05-11 22:31:41,150884,32292,116098
2024-05-11 22:31:46,150884,33087,115304
2024-05-11 22:31:51,150884,33873,114518
2024-05-11 22:31:56,150884,34666,113724
2024-05-11 22:32:01,150884,35451,112939
2024-05-11 22:32:06,150884,36245,112145
2024-05-11 22:32:11,150884,37031,111359
2024-05-11 22:32:16,150884,37218,111172
2024-05-11 22:32:21,150884,37218,111172
2024-05-11 22:32:26,150884,37218,111172
2024-05-11 22:32:31,150884,37218,111172
2024-05-11 22:32:36,150884,37214,111177
2024-05-11 22:32:41,150884,37214,111177
2024-05-11 22:32:46,150884,37214,111176
2024-05-11 22:32:51,150884,37214,111176
2024-05-11 22:32:56,150884,37214,111176
2024-05-11 22:33:01,150884,37209,111181
2024-05-11 22:33:06,150884,37210,111181
2024-05-11 22:33:11,150884,37210,111181
2024-05-11 22:33:16,150884,37210,111180
2024-05-11 22:33:21,150884,37252,111139
2024-05-11 22:33:26,150884,37240,111150
2024-05-11 22:33:31,150884,37240,111150
2024-05-11 22:33:36,150884,37235,111156
2024-05-11 22:33:41,150884,37235,111155
2024-05-11 22:33:46,150884,37300,111090
2024-05-11 22:33:51,150884,37300,111090
2024-05-11 22:33:56,150884,37300,111090
2024-05-11 22:34:01,150884,37300,111090
2024-05-11 22:34:06,150884,37296,111094
2024-05-11 22:34:11,150884,37296,111094
2024-05-11 22:34:16,150884,37296,111094
2024-05-11 22:34:22,150884,37322,111068
2024-05-11 22:34:27,150884,37323,111068
2024-05-11 22:34:32,150884,37323,111068
2024-05-11 22:34:37,150884,37323,111068
2024-05-11 22:34:42,150884,37323,111068
2024-05-11 22:34:47,150884,37323,111068
2024-05-11 22:34:52,150884,37385,111005
2024-05-11 22:34:57,150884,37385,111005
2024-05-11 22:35:02,150884,37360,111030
2024-05-11 22:35:07,150884,37391,110999
2024-05-11 22:35:12,150884,37391,110999
2024-05-11 22:35:17,150884,37391,110999
2024-05-11 22:35:22,150884,37391,110999
2024-05-11 22:35:27,150884,37391,110999
2024-05-11 22:35:32,150884,37391,110999
2024-05-11 22:35:37,150884,37391,110999
2024-05-11 22:35:42,150884,37392,110998
2024-05-11 22:35:47,150884,37392,110998
2024-05-11 22:35:52,150884,37420,110970
2024-05-11 22:35:57,150884,37420,110970
2024-05-11 22:36:02,150884,37429,110961
2024-05-11 22:36:07,150884,37930,110460
2024-05-11 22:36:12,150884,37425,110965
2024-05-11 22:36:17,150884,37425,110965
2024-05-11 22:36:22,150884,37410,110980
2024-05-11 22:36:27,150884,37410,110980
2024-05-11 22:36:32,150884,37410,110980
2024-05-11 22:36:37,150884,37411,110979
2024-05-11 22:36:42,150884,37411,110979
2024-05-11 22:36:47,150884,37411,110979
2024-05-11 22:36:52,150884,37411,110979
2024-05-11 22:36:57,150884,37448,110942
2024-05-11 22:37:02,150884,37448,110942
2024-05-11 22:37:07,150884,37448,110942
2024-05-11 22:37:12,150884,37448,110942
2024-05-11 22:37:17,150884,37448,110942
2024-05-11 22:37:22,150884,37448,110942
2024-05-11 22:37:27,150884,37449,110941
2024-05-11 22:37:32,150884,37453,110937
2024-05-11 22:37:37,150884,37453,110937
2024-05-11 22:37:42,150884,37476,110914
2024-05-11 22:37:47,150884,37476,110914
2024-05-11 22:37:52,150884,37476,110914
2024-05-11 22:37:57,150884,37476,110913
2024-05-11 22:38:02,150884,37472,110918
2024-05-11 22:38:07,150884,37472,110917
2024-05-11 22:38:12,150884,37472,110917
2024-05-11 22:38:17,150884,37472,110917
2024-05-11 22:38:22,150884,37472,110917
2024-05-11 22:38:27,150884,37473,110917
2024-05-11 22:38:32,150884,37473,110917
2024-05-11 22:38:37,150884,37473,110917
2024-05-11 22:38:42,150884,37549,110840
2024-05-11 22:38:47,150884,37581,110809
2024-05-11 22:38:52,150884,37581,110809
2024-05-11 22:38:57,150884,37700,110690
2024-05-11 22:39:02,150884,37558,110831
2024-05-11 22:39:07,150884,37558,110831
2024-05-11 22:39:12,150884,37559,110831
2024-05-11 22:39:17,150884,37559,110831
2024-05-11 22:39:22,150884,37559,110831
2024-05-11 22:39:27,150884,37559,110831
2024-05-11 22:39:32,150884,37559,110831
2024-05-11 22:39:37,150884,37559,110831
2024-05-11 22:39:42,150884,37559,110831
2024-05-11 22:39:47,150884,37559,110831
2024-05-11 22:39:52,150884,37559,110831
2024-05-11 22:39:57,150884,37559,110831
2024-05-11 22:40:02,150884,37559,110831
2024-05-11 22:40:07,150884,38267,110123
2024-05-11 22:40:12,150884,38267,110123
2024-05-11 22:40:17,150884,38267,110123
2024-05-11 22:40:22,150884,38329,110060
2024-05-11 22:40:27,150884,38329,110060
2024-05-11 22:40:32,150884,38329,110060
2024-05-11 22:40:37,150884,38329,110060
2024-05-11 22:40:42,150884,38329,110060
2024-05-11 22:40:47,150884,38332,110057
2024-05-11 22:40:52,150884,38332,110057
2024-05-11 22:40:57,150884,38332,110057
2024-05-11 22:41:02,150884,38332,110057
2024-05-11 22:41:07,150884,38332,110057
2024-05-11 22:41:12,150884,38332,110057
2024-05-11 22:41:17,150884,38332,110057
2024-05-11 22:41:22,150884,38332,110057
2024-05-11 22:41:27,150884,38332,110057
2024-05-11 22:41:32,150884,38332,110057
2024-05-11 22:41:37,150884,38332,110057
2024-05-11 22:41:42,150884,38332,110057
2024-05-11 22:41:47,150884,38332,110057
2024-05-11 22:41:52,150884,38332,110057
2024-05-11 22:41:57,150884,38360,110029
2024-05-11 22:42:02,150884,38360,110029
2024-05-11 22:42:07,150884,38360,110029
2024-05-11 22:42:12,150884,38360,110029
2024-05-11 22:42:17,150884,38360,110029
2024-05-11 22:42:22,150884,38360,110029
2024-05-11 22:42:27,150884,38360,110029
2024-05-11 22:42:32,150884,39568,108821
2024-05-11 22:42:37,150884,38373,110017
2024-05-11 22:42:42,150884,38373,110017
2024-05-11 22:42:47,150884,38373,110017
2024-05-11 22:42:52,150884,38373,110017
2024-05-11 22:42:57,150884,38373,110017
2024-05-11 22:43:02,150884,38373,110017
2024-05-11 22:43:07,150884,38351,110038
2024-05-11 22:43:12,150884,38351,110038
2024-05-11 22:43:17,150884,38351,110038
2024-05-11 22:43:22,150884,38351,110038
2024-05-11 22:43:27,150884,38351,110038
2024-05-11 22:43:32,150884,38351,110038
2024-05-11 22:43:37,150884,38351,110038
2024-05-11 22:43:42,150884,38351,110038
2024-05-11 22:43:47,150884,38351,110038
2024-05-11 22:43:52,150884,38351,110038
2024-05-11 22:43:57,150884,38353,110037
2024-05-11 22:44:02,150884,38353,110036
2024-05-11 22:44:07,150884,38353,110036
2024-05-11 22:44:12,150884,38353,110036
2024-05-11 22:44:17,150884,38353,110036
2024-05-11 22:44:22,150884,38353,110036
2024-05-11 22:44:27,150884,38353,110036
2024-05-11 22:44:32,150884,38353,110036
2024-05-11 22:44:37,150884,38353,110036
2024-05-11 22:44:42,150884,38353,110036
2024-05-11 22:44:47,150884,38353,110036
2024-05-11 22:44:52,150884,37909,110480
2024-05-11 22:44:57,150884,37909,110480
2024-05-11 22:45:02,150884,37909,110480
2024-05-11 22:45:07,150884,37910,110479
2024-05-11 22:45:12,150884,37910,110479
2024-05-11 22:45:17,150884,37910,110479
2024-05-11 22:45:22,150884,37910,110479
2024-05-11 22:45:27,150884,37910,110479
2024-05-11 22:45:32,150884,37910,110479
2024-05-11 22:45:37,150884,37910,110479
2024-05-11 22:45:42,150884,37910,110479
2024-05-11 22:45:47,150884,37910,110479
2024-05-11 22:45:53,150884,37910,110479
2024-05-11 22:45:58,150884,37910,110479
2024-05-11 22:46:03,150884,37910,110479
2024-05-11 22:46:08,150884,37904,110485
2024-05-11 22:46:13,150884,37904,110485
2024-05-11 22:46:18,150884,37904,110485
2024-05-11 22:46:23,150884,37904,110485
2024-05-11 22:46:28,150884,37916,110473
2024-05-11 22:46:33,150884,37908,110481
2024-05-11 22:46:38,150884,37908,110481
2024-05-11 22:46:43,150884,37908,110481
2024-05-11 22:46:48,150884,37908,110481
2024-05-11 22:46:53,150884,37908,110481
2024-05-11 22:46:58,150884,37908,110481
2024-05-11 22:47:03,150884,37909,110480
2024-05-11 22:47:08,150884,37909,110480
2024-05-11 22:47:13,150884,37917,110472
2024-05-11 22:47:18,150884,37916,110472
2024-05-11 22:47:23,150884,37917,110472
2024-05-11 22:47:28,150884,37917,110472
2024-05-11 22:47:33,150884,37917,110472
2024-05-11 22:47:38,150884,37904,110485
2024-05-11 22:47:43,150884,37904,110485
2024-05-11 22:47:48,150884,37904,110485
2024-05-11 22:47:53,150884,37904,110485
2024-05-11 22:47:58,150884,37905,110484
2024-05-11 22:48:03,150884,37905,110484
2024-05-11 22:48:08,150884,37905,110484
2024-05-11 22:48:13,150884,37905,110484
2024-05-11 22:48:18,150884,37905,110484
2024-05-11 22:48:23,150884,37905,110484
2024-05-11 22:48:28,150884,37905,110484
2024-05-11 22:48:33,150884,37905,110484
2024-05-11 22:48:38,150884,37905,110484
2024-05-11 22:48:43,150884,37905,110484
2024-05-11 22:48:48,150884,37905,110484
2024-05-11 22:48:53,150884,37913,110476
2024-05-11 22:48:58,150884,37912,110476
2024-05-11 22:49:03,150884,37912,110476
2024-05-11 22:49:08,150884,37906,110483
2024-05-11 22:49:13,150884,37906,110483
2024-05-11 22:49:18,150884,37906,110483
2024-05-11 22:49:23,150884,37906,110483
2024-05-11 22:49:28,150884,37906,110483
2024-05-11 22:49:33,150884,37906,110483
2024-05-11 22:49:38,150884,37906,110483
2024-05-11 22:49:43,150884,37906,110483
2024-05-11 22:49:48,150884,37906,110483
2024-05-11 22:49:53,150884,37906,110483
2024-05-11 22:49:58,150884,37906,110483
2024-05-11 22:50:03,150884,37906,110483
2024-05-11 22:50:08,150884,37906,110483
2024-05-11 22:50:13,150884,37906,110483
2024-05-11 22:50:18,150884,37906,110483
2024-05-11 22:50:23,150884,37906,110482
2024-05-11 22:50:28,150884,39898,108490
2024-05-11 22:50:33,150884,37897,110491
2024-05-11 22:50:38,150884,37897,110491
2024-05-11 22:50:43,150884,37897,110491
2024-05-11 22:50:48,150884,37897,110491
2024-05-11 22:50:53,150884,37898,110491
2024-05-11 22:50:58,150884,37898,110491
2024-05-11 22:51:03,150884,37898,110491
2024-05-11 22:51:08,150884,37898,110491
2024-05-11 22:51:13,150884,37915,110474
2024-05-11 22:51:18,150884,37915,110474
2024-05-11 22:51:23,150884,37915,110474
2024-05-11 22:51:28,150884,37915,110474
2024-05-11 22:51:33,150884,37915,110474
2024-05-11 22:51:38,150884,37915,110474
2024-05-11 22:51:43,150884,37915,110474
2024-05-11 22:51:48,150884,37915,110474
2024-05-11 22:51:53,150884,37915,110473
2024-05-11 22:51:58,150884,37916,110473
2024-05-11 22:52:03,150884,37916,110473
2024-05-11 22:52:08,150884,37916,110473
2024-05-11 22:52:13,150884,37916,110473
2024-05-11 22:52:18,150884,37916,110473
2024-05-11 22:52:23,150884,37916,110473
2024-05-11 22:52:28,150884,37916,110472
2024-05-11 22:52:33,150884,37916,110472
2024-05-11 22:52:38,150884,37916,110472
2024-05-11 22:52:43,150884,37916,110472
2024-05-11 22:52:48,150884,38193,110195
