timestamp,total_memory,used_memory,free_memory
2024-03-30 06:18:18,60258,1157,58174
2024-03-30 06:18:23,60258,2236,57095
2024-03-30 06:18:28,60258,14279,45051
2024-03-30 06:18:33,60258,29034,30297
2024-03-30 06:18:38,60258,39054,20277
2024-03-30 06:18:43,60258,39067,20263
2024-03-30 06:18:48,60258,39064,20267
2024-03-30 06:18:53,60258,39100,20225
2024-03-30 06:18:58,60258,40237,19042
2024-03-30 06:19:03,60258,41350,17920
2024-03-30 06:19:09,60258,42961,16307
2024-03-30 06:19:14,60258,42976,16288
2024-03-30 06:19:19,60258,42999,16263
2024-03-30 06:19:24,60258,42978,16280
2024-03-30 06:19:29,60258,42985,16270
2024-03-30 06:19:34,60258,44700,14552
2024-03-30 06:19:39,60258,46290,12959
2024-03-30 06:19:44,60258,46366,12880
2024-03-30 06:19:49,60258,46459,12782
2024-03-30 06:19:54,60258,46969,12268
2024-03-30 06:19:59,60258,46973,12260
2024-03-30 06:20:04,60258,47220,11585
2024-03-30 06:20:09,60258,47211,11590
2024-03-30 06:20:14,60258,47205,11594
2024-03-30 06:20:19,60258,46974,12019
2024-03-30 06:20:24,60258,46972,12016
2024-03-30 06:20:29,60258,46981,12002
2024-03-30 06:20:34,60258,46993,11985
2024-03-30 06:20:39,60258,47071,11899
2024-03-30 06:20:44,60258,47866,11092
2024-03-30 06:20:49,60258,48185,10769
2024-03-30 06:20:54,60258,48690,10261
2024-03-30 06:20:59,60258,48690,10254
2024-03-30 06:21:04,60258,48702,10236
2024-03-30 06:21:09,60258,48734,10201
2024-03-30 06:21:14,60258,48736,10216
2024-03-30 06:21:19,60258,48728,10224
2024-03-30 06:21:24,60258,48726,10226
2024-03-30 06:21:29,60258,48726,10226
2024-03-30 06:21:34,60258,48733,10219
2024-03-30 06:21:39,60258,48729,10223
2024-03-30 06:21:44,60258,48731,10222
2024-03-30 06:21:49,60258,48740,10212
2024-03-30 06:21:54,60258,48736,10216
2024-03-30 06:21:59,60258,48734,10218
2024-03-30 06:22:04,60258,48737,10215
2024-03-30 06:22:09,60258,48734,10218
2024-03-30 06:22:14,60258,25047,33905
