timestamp,total_memory,used_memory,free_memory
2024-04-02 16:40:42,120734,1548,118094
2024-04-02 16:40:47,120734,3697,115945
2024-04-02 16:40:52,120734,15410,104232
2024-04-02 16:40:57,120734,36900,82742
2024-04-02 16:41:02,120734,64856,54787
2024-04-02 16:41:07,120734,82476,37166
2024-04-02 16:41:12,120734,107765,11878
2024-04-02 16:41:17,120734,115682,3960
2024-04-02 16:41:25,120734,119001,811
2024-04-02 16:41:31,120734,118999,811
2024-04-02 16:41:36,120734,119003,812
2024-04-02 16:41:41,120734,118998,810
2024-04-02 16:41:46,120734,118996,818
2024-04-02 16:41:52,120734,119003,816
2024-04-02 16:41:57,120734,118993,821
2024-04-02 16:42:02,120734,119007,812
2024-04-02 16:42:07,120734,119012,812
2024-04-02 16:42:13,120734,119019,812
2024-04-02 16:42:19,120734,119010,816
2024-04-02 16:42:24,120734,119013,811
2024-04-02 16:42:33,120734,118625,1180
2024-04-02 16:42:41,120734,118928,873
2024-04-02 16:42:46,120734,119095,695
2024-04-02 16:42:52,120734,119117,683
2024-04-02 16:42:58,120734,119100,685
2024-04-02 16:43:03,120734,119092,685
2024-04-02 16:43:08,120734,119087,685
2024-04-02 16:43:13,120734,118984,783
2024-04-02 16:43:18,120734,118931,836
2024-04-02 16:43:23,120734,118862,905
2024-04-02 16:43:28,120734,118909,858
2024-04-02 16:43:33,120734,118910,857
2024-04-02 16:43:38,120734,118912,855
2024-04-02 16:43:43,120734,118913,844
2024-04-02 16:43:48,120734,118922,831
2024-04-02 16:43:53,120734,118917,830
2024-04-02 16:43:58,120734,118919,827
2024-04-02 16:44:03,120734,118920,826
2024-04-02 16:44:08,120734,118923,823
2024-04-02 16:44:13,120734,118926,821
2024-04-02 16:44:18,120734,118856,891
2024-04-02 16:44:23,120734,118858,889
2024-04-02 16:44:28,120734,118850,897
2024-04-02 16:44:33,120734,118914,833
2024-04-02 16:44:38,120734,118894,854
2024-04-02 16:44:43,120734,105840,13907
2024-04-02 16:44:48,120734,4580,115202
